"crl.tot","dollar","bang","money","n000","make","yesno"
230,0,0,0,0,0,"n"
6,0,0,0,0,0,"y"
112,0,0,0,0,0.34,"n"
56,0,0.411,0,0,0,"y"
1458,0.151,0.318,0.19,0.39,0.09,"y"
26,0,0.398,0,0,0,"n"
1026,0,0.073,0,0.05,0.15,"n"
3,0,1.086,0,0,0,"n"
1108,0.16,0,0,0,0,"n"
1360,0.104,0.733,0.46,0.58,0.58,"y"
966,0.305,0.75,0.69,0.06,0.48,"y"
104,0,0.193,0,0,0.37,"n"
445,0,0.199,0,0,0,"y"
8,0,0,0,0,0,"n"
9,0,0,0,0,0,"n"
701,0.256,0.736,1.14,0.49,0.98,"y"
49,0,0.12,0,0,0,"n"
43,0,0,0,0,0,"n"
92,0.111,0.111,0.62,0,0,"y"
53,0,0.276,0,0,0,"n"
749,0.081,0.244,0,0.19,0.06,"y"
37,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
149,0,0,0,0,0,"n"
27,0.809,0.809,0,0,0,"n"
727,0.049,0.248,0.33,0.49,0,"y"
43,0,0.141,0,0,0,"n"
32,0,0,0,0,0.71,"n"
59,0,0,0,0,0,"n"
67,0,0,0,0,0,"n"
3269,0.626,0.322,0.35,1.09,0.49,"y"
190,0,0.043,0,0,0.25,"n"
43,0,0,0,0,0,"n"
14,0,0,0,0,0,"n"
78,0,0.361,0,0,0,"y"
89,0,0,0,0,0,"n"
1590,0.592,0.435,1.08,0.31,0.5,"y"
39,0,0.169,0,0,0,"n"
640,0.894,0.246,0,0,0.09,"y"
36,0.279,0.558,0,0,0,"y"
58,0,0.11,0,0,0,"n"
5,0,0,0,0,0,"n"
387,0.029,0.029,0,0,0.37,"n"
6,0,0,0,0,0,"n"
12,0,0,0,0,0,"n"
202,0.34,1.191,0,0,0,"y"
58,0,0.192,0,0,0,"y"
125,0.086,0.086,0,0.55,0,"y"
297,0,0.188,0,0,0,"n"
464,0,0.267,0.47,0,0,"y"
1003,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
227,0,0,0,0,0,"n"
169,0.037,0.037,0,0,0,"n"
30,0,0,0,0,0,"n"
1064,0,0,0,0,0,"n"
13,0,0,0,0,0,"n"
51,0,0,0,0,0,"n"
191,0,0.135,0,0,0,"y"
7,0,0,0,0,0,"n"
125,0,0.519,0,0.84,0,"y"
271,0.201,1.105,0,0,1.24,"y"
61,0,0,0,0,0,"y"
42,0,0,0.39,0,0.78,"n"
18,0,0,0,0,0.68,"n"
